Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Michigan,2019,23,2019-06-08,1789,1644,25,370,58,85,36,112,24,39,12,435,96,0,0,,,,,,,,,,,,,,,
Michigan,2019,24,2019-06-15,1810,1679,26,385,54,69,28,122,22,25,18,472,83,0,0,,,,,,,,,,,,,,,
Michigan,2019,25,2019-06-22,1808,1644,11,360,51,75,21,103,23,36,,471,82,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Michigan,2019,26,2019-06-29,1811,1661,22,405,55,82,25,106,22,34,13,473,91,0,0,,,,,,,,,,,,,,,
Michigan,2019,27,2019-07-06,1815,1650,16,400,57,74,40,86,31,25,13,452,86,0,0,,,,,,,,,,,,,,,
Michigan,2019,28,2019-07-13,1831,1661,26,422,52,83,23,110,20,36,11,457,98,0,0,,,,,,,,,,,,,,,
Michigan,2019,29,2019-07-20,1853,1684,24,439,58,65,23,108,20,38,,466,103,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Michigan,2019,30,2019-07-27,1726,1569,20,423,49,72,17,105,27,26,14,424,88,0,0,,,,,,,,,,,,,,,
Michigan,2019,31,2019-08-03,1792,1634,22,388,40,81,20,100,33,27,12,467,80,0,0,,,,,,,,,,,,,,,
Michigan,2019,32,2019-08-10,1791,1642,18,393,58,76,15,104,22,34,,469,94,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Michigan,2019,33,2019-08-17,1759,1633,20,414,44,94,23,86,30,35,15,426,93,0,0,,,,,,,,,,,,,,,
Michigan,2019,34,2019-08-24,1740,1599,14,388,44,76,15,98,13,39,38,443,77,0,0,,,,,,,,,,,,,,,
Michigan,2019,35,2019-08-31,1733,1600,29,384,36,73,27,97,19,43,41,402,108,0,0,,,,,,,,,,,,,,,
Michigan,2019,36,2019-09-07,1808,1674,18,395,45,85,25,94,20,34,41,451,103,0,0,,,,,,,,,,,,,,,
Michigan,2019,37,2019-09-14,1749,1607,19,406,56,81,23,99,18,23,23,440,98,0,0,,,,,,,,,,,,,,,
Michigan,2019,38,2019-09-21,1791,1611,20,397,49,79,19,110,20,34,,431,87,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Michigan,2019,39,2019-09-28,1854,1699,25,432,48,76,36,110,21,36,12,425,89,0,0,,,,,,,,,,,,,,,
Michigan,2019,40,2019-10-05,1825,1684,23,401,53,68,19,103,21,26,13,480,102,0,0,,,,,,,,,,,,,,,
Michigan,2019,41,2019-10-12,1808,1664,19,404,58,102,23,99,32,31,10,434,103,0,0,,,,,,,,,,,,,,,
Michigan,2019,42,2019-10-19,1939,1766,13,417,66,73,13,117,27,41,16,507,104,0,0,,,,,,,,,,,,,,,
Michigan,2019,43,2019-10-26,1910,1756,21,402,56,104,26,110,22,37,,489,108,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Michigan,2019,44,2019-11-02,1921,1759,24,393,61,104,31,100,30,29,17,490,87,0,0,,,,,,,,,,,,,,,
Michigan,2019,45,2019-11-09,1955,1787,25,394,51,91,28,96,34,34,18,514,100,0,0,,,,,,,,,,,,,,,
Michigan,2019,46,2019-11-16,1963,1807,35,390,63,96,32,118,21,36,26,522,99,0,0,,,,,,,,,,,,,,,
Michigan,2019,47,2019-11-23,1974,1812,18,398,54,99,27,109,34,31,11,507,107,0,0,,,,,,,,,,,,,,,
Michigan,2019,48,2019-11-30,1924,1760,19,389,55,96,29,113,23,29,25,503,89,0,0,,,,,,,,,,,,,,,
Michigan,2019,49,2019-12-07,1983,1838,15,431,74,69,31,122,28,17,15,542,107,0,0,,,,,,,,,,,,,,,
Michigan,2019,50,2019-12-14,1973,1830,29,415,43,102,26,98,33,29,14,531,108,0,0,,,,,,,,,,,,,,,
Michigan,2019,51,2019-12-21,2008,1854,20,436,57,87,32,127,25,36,20,548,102,0,0,,,,,,,,,,,,,,,
Michigan,2019,52,2019-12-28,1963,1827,20,387,58,94,31,107,38,46,15,545,110,0,0,,,,,,,,,,,,,,,
Michigan,2020,1,2020-01-04,2012,1865,34,401,63,80,42,133,21,39,21,509,114,0,0,,,,,,,,,,,,,,,
Michigan,2020,2,2020-01-11,2064,1926,23,414,61,85,39,161,37,40,13,503,114,0,0,,,,,,,,,,,,,,,
Michigan,2020,3,2020-01-18,1934,1800,24,382,49,92,42,122,22,40,19,493,126,0,0,,,,,,,,,,,,,,,
Michigan,2020,4,2020-01-25,2004,1880,22,450,77,83,35,119,28,35,20,494,131,0,0,,,,,,,,,,,,,,,
Michigan,2020,5,2020-02-01,1999,1862,30,400,69,94,46,142,25,48,15,508,83,0,0,,,,,,,,,,,,,,,
Michigan,2020,6,2020-02-08,1931,1787,23,367,57,78,53,118,31,41,29,499,117,0,0,,,,,,,,,,,,,,,
Michigan,2020,7,2020-02-15,2007,1870,30,426,65,92,55,111,33,45,26,523,110,0,0,,,,,,,,,,,,,,,
Michigan,2020,8,2020-02-22,2051,1896,25,403,66,85,60,129,27,40,21,536,127,0,0,,,,,,,,,,,,,,,
Michigan,2020,9,2020-02-29,1958,1807,27,382,52,100,48,124,16,38,33,514,116,0,0,,,,,,,,,,,,,,,
Michigan,2020,10,2020-03-07,1966,1819,27,394,52,77,50,135,31,46,34,488,103,0,0,,,,,,,,,,,,,,,
Michigan,2020,11,2020-03-14,1932,1807,25,358,56,82,59,130,27,45,40,497,95,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Michigan,2020,12,2020-03-21,1996,1877,31,391,66,80,65,100,17,41,40,517,109,18,14,,,,,,,,,,,,,,,
Michigan,2020,13,2020-03-28,2363,2248,28,436,74,98,76,138,30,45,42,559,116,214,206,,,,,,,,,,,,,,,
Michigan,2020,14,2020-04-04,2994,2897,34,420,96,127,106,147,23,44,67,632,137,629,594,,,,,,,,,,,,,,,
Michigan,2020,15,2020-04-11,3205,3103,24,388,82,141,74,130,32,34,79,631,135,891,833,,,,,,,,,,,,,,,
Michigan,2020,16,2020-04-18,2941,2847,27,379,80,116,66,119,27,33,88,572,110,856,798,,,,,,,,,,,,,,,
Michigan,2020,17,2020-04-25,2523,2427,27,362,73,99,53,116,31,30,83,491,111,615,564,,,,,,,,,,,,,,,
Michigan,2020,18,2020-05-02,2282,2195,24,327,67,129,34,117,18,38,97,480,104,426,387,,,,,,,,,,,,,,,
Michigan,2020,19,2020-05-09,1718,1655,14,328,46,75,30,91,19,23,70,362,73,280,256,,,,,,,,,,,,,,,
Michigan,2020,20,2020-05-16,1025,1008,,181,35,66,15,45,,16,48,253,76,46,44,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,1,2019-01-05,921,844,16,199,33,45,10,47,12,11,25,170,46,0,0,,,,,,,,,,,,,,,
Minnesota,2019,2,2019-01-12,945,857,11,213,34,48,22,62,,,18,151,45,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,3,2019-01-19,954,860,10,196,28,52,12,60,19,10,20,158,49,0,0,,,,,,,,,,,,,,,
Minnesota,2019,4,2019-01-26,898,838,,217,21,51,13,55,11,11,23,169,49,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,5,2019-02-02,937,869,11,196,30,59,13,46,23,11,20,169,53,0,0,,,,,,,,,,,,,,,
Minnesota,2019,6,2019-02-09,983,893,,210,22,66,18,42,,10,17,191,44,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,7,2019-02-16,892,821,,175,34,49,13,50,,13,14,190,56,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,8,2019-02-23,873,802,,173,29,49,,49,11,,19,174,34,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,9,2019-03-02,805,751,,174,30,51,12,39,10,11,16,149,46,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,10,2019-03-09,912,840,,216,24,58,18,52,,,20,170,47,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,11,2019-03-16,856,786,,191,30,45,13,32,11,,22,165,44,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,12,2019-03-23,826,761,,192,18,53,12,42,10,,15,150,40,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,13,2019-03-30,871,798,,189,23,46,19,48,,10,23,180,53,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,14,2019-04-06,851,795,,205,32,51,12,40,14,,18,154,49,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,15,2019-04-13,854,773,,198,27,35,14,29,16,10,25,162,46,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,16,2019-04-20,874,809,,210,22,43,14,53,12,11,20,153,58,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,17,2019-04-27,820,747,,198,25,32,13,35,15,,20,141,38,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,18,2019-05-04,860,782,,189,22,45,11,34,13,12,21,165,47,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,19,2019-05-11,883,817,15,173,23,56,,39,,,13,184,54,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,20,2019-05-18,911,838,,219,40,45,,63,13,,20,156,43,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,21,2019-05-25,815,738,,184,24,41,15,50,,10,10,136,51,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,22,2019-06-01,874,800,,196,25,50,,48,15,11,18,158,48,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,23,2019-06-08,846,749,,190,34,36,,50,16,,19,154,54,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,24,2019-06-15,803,729,10,174,18,35,,39,,,34,142,43,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,25,2019-06-22,790,709,,182,20,37,12,41,,11,19,140,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Minnesota,2019,26,2019-06-29,793,721,,176,23,46,,44,11,,22,139,38,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,27,2019-07-06,826,747,,189,23,46,,47,14,10,17,145,39,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,28,2019-07-13,846,775,,213,28,43,,53,,,20,164,44,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,29,2019-07-20,785,709,,173,34,47,,30,,10,18,141,43,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2019,30,2019-07-27,818,735,,196,18,53,,27,,,15,151,37,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,31,2019-08-03,846,760,,193,30,58,,43,,11,17,145,42,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2019,32,2019-08-10,886,799,11,201,33,42,10,48,18,,23,141,42,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,33,2019-08-17,847,752,,188,32,53,,32,10,14,26,152,48,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,34,2019-08-24,825,722,,207,22,37,,45,11,16,20,133,37,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,35,2019-08-31,823,750,,186,32,47,13,43,11,,30,156,36,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,36,2019-09-07,846,753,14,197,17,52,,40,13,14,20,159,31,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,37,2019-09-14,762,676,,158,22,43,,31,,10,13,146,50,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2019,38,2019-09-21,906,822,,203,23,47,,42,14,11,18,160,45,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,39,2019-09-28,883,817,,229,23,50,,40,17,,31,152,38,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,40,2019-10-05,879,804,,205,25,53,,35,19,,34,177,37,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,41,2019-10-12,916,836,,201,31,59,,41,,,23,178,57,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2019,42,2019-10-19,892,803,,179,24,44,,55,16,13,20,183,46,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,43,2019-10-26,839,760,,181,26,47,10,42,15,,23,143,35,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,44,2019-11-02,873,795,11,191,17,42,,37,17,12,17,158,56,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2019,45,2019-11-09,860,798,,184,27,65,,44,16,,17,160,37,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,46,2019-11-16,938,863,,226,26,56,,43,18,,26,169,46,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,47,2019-11-23,890,822,10,202,24,57,11,49,14,,24,154,62,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2019,48,2019-11-30,870,794,,186,34,57,,46,,10,24,167,37,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Minnesota,2019,49,2019-12-07,923,835,,201,34,51,11,34,15,11,28,177,46,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2019,50,2019-12-14,891,831,15,181,23,59,10,41,18,13,16,166,40,0,0,,,,,,,,,,,,,,,
Minnesota,2019,51,2019-12-21,932,876,15,182,38,51,,47,16,,26,188,42,0,0,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2019,52,2019-12-28,1006,932,15,200,26,61,10,40,18,19,23,187,56,0,0,,,,,,,,,,,,,,,
Minnesota,2020,1,2020-01-04,1009,927,17,219,42,56,17,45,17,10,25,197,47,0,0,,,,,,,,,,,,,,,
Minnesota,2020,2,2020-01-11,950,880,10,202,26,51,15,51,15,13,19,199,44,0,0,,,,,,,,,,,,,,,
Minnesota,2020,3,2020-01-18,944,871,,196,27,51,10,62,12,,27,173,37,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2020,4,2020-01-25,955,895,10,186,30,58,20,64,14,15,31,159,45,0,0,,,,,,,,,,,,,,,
Minnesota,2020,5,2020-02-01,941,872,,214,19,60,13,40,14,14,14,174,43,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2020,6,2020-02-08,918,846,,203,32,48,21,47,,,24,186,46,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Minnesota,2020,7,2020-02-15,938,867,15,204,30,47,17,40,18,12,24,177,44,0,0,,,,,,,,,,,,,,,
Minnesota,2020,8,2020-02-22,911,831,12,188,30,54,22,51,10,17,22,152,47,0,0,,,,,,,,,,,,,,,
Minnesota,2020,9,2020-02-29,929,856,12,182,21,60,24,46,16,12,21,180,48,0,0,,,,,,,,,,,,,,,
Minnesota,2020,10,2020-03-07,942,861,,187,29,44,29,46,14,19,29,162,45,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2020,11,2020-03-14,875,787,,168,29,42,21,52,19,12,29,155,42,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2020,12,2020-03-21,889,807,11,184,25,51,24,40,14,11,20,165,43,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Minnesota,2020,13,2020-03-28,899,824,11,205,29,51,13,46,13,11,17,153,34,12,11,,,,,,,,,,,,,,,
Minnesota,2020,14,2020-04-04,913,816,,175,38,59,14,39,11,,24,158,40,22,21,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2020,15,2020-04-11,927,852,,196,30,42,20,41,15,14,28,153,38,43,42,,,Suppressed (counts 1-9),,,,,,,,,,,,
Minnesota,2020,16,2020-04-18,927,861,,209,21,52,,46,17,,18,125,46,75,72,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,17,2020-04-25,975,903,,184,34,39,,26,11,10,16,157,43,135,125,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Minnesota,2020,18,2020-05-02,987,924,,165,27,61,14,45,14,,19,176,56,142,129,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Minnesota,2020,19,2020-05-09,961,922,,200,30,57,,42,10,,20,131,37,156,142,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Minnesota,2020,20,2020-05-16,864,834,,179,33,49,,28,15,,16,135,45,127,118,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Mississippi,2019,1,2019-01-05,657,617,11,126,22,27,19,46,12,22,10,168,31,0,0,,,,,,,,,,,,,,,
Mississippi,2019,2,2019-01-12,649,605,13,134,24,33,11,47,,19,,172,33,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,3,2019-01-19,637,578,,129,27,44,16,48,13,10,,149,31,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,4,2019-01-26,624,581,13,116,26,40,16,48,,15,,150,38,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,5,2019-02-02,653,611,,142,23,31,27,49,,13,,161,37,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,6,2019-02-09,706,649,,134,27,32,29,40,14,15,,188,41,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,7,2019-02-16,674,628,,133,29,35,21,37,14,17,,158,42,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,8,2019-02-23,652,599,,117,33,35,27,51,12,17,,171,32,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,9,2019-03-02,633,580,,138,23,32,15,47,15,11,,153,29,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,10,2019-03-09,647,601,,126,30,31,17,57,,12,12,165,40,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
Mississippi,2019,11,2019-03-16,628,575,,122,22,45,21,40,,21,,144,45,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,12,2019-03-23,635,583,,116,27,26,15,39,11,20,,156,30,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,13,2019-03-30,596,545,,122,15,27,11,46,,20,,144,33,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,14,2019-04-06,659,610,,129,23,28,19,48,,13,,179,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,15,2019-04-13,632,588,,130,24,34,15,50,16,16,,147,38,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,16,2019-04-20,568,514,,125,32,19,24,32,,14,,139,34,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,17,2019-04-27,603,558,,125,20,38,15,42,,11,,140,39,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,18,2019-05-04,639,577,,125,16,33,12,50,10,20,,144,37,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,19,2019-05-11,624,547,12,109,18,34,18,43,,14,,156,37,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,20,2019-05-18,610,560,,124,26,42,12,44,,16,,155,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,21,2019-05-25,627,562,,134,28,25,14,31,,13,,159,39,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,22,2019-06-01,656,608,,133,14,45,22,47,11,13,,142,40,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,23,2019-06-08,617,535,,116,25,24,13,38,,,,137,35,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Mississippi,2019,24,2019-06-15,610,564,15,130,22,37,19,39,,15,,156,32,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,25,2019-06-22,563,513,,114,19,25,13,32,10,10,,145,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,26,2019-06-29,581,525,10,100,21,28,17,40,,19,,146,27,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,27,2019-07-06,569,519,,110,17,25,15,35,12,12,,161,28,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,28,2019-07-13,628,567,,119,19,37,,36,,17,,173,30,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,29,2019-07-20,576,538,,123,24,27,,40,11,14,,148,38,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Mississippi,2019,30,2019-07-27,530,472,,122,19,29,14,23,,21,,114,26,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,31,2019-08-03,601,552,,111,24,28,10,39,10,15,,147,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,32,2019-08-10,643,588,11,146,26,36,16,35,12,14,,142,31,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,33,2019-08-17,578,516,,125,24,28,15,21,11,14,,129,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
Mississippi,2019,34,2019-08-24,598,540,,126,17,40,12,25,,10,,143,38,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,35,2019-08-31,532,478,,105,17,21,11,31,,13,,146,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,36,2019-09-07,594,539,,113,23,28,15,37,,11,,144,45,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,37,2019-09-14,615,554,13,115,28,31,,34,,,10,153,34,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Mississippi,2019,38,2019-09-21,539,489,,118,15,22,11,27,,,,141,19,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Mississippi,2019,39,2019-09-28,580,531,,144,21,31,,38,,12,,142,25,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,40,2019-10-05,588,536,,134,25,35,11,31,,19,,134,36,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,41,2019-10-12,574,532,,112,24,29,18,41,,13,,139,30,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,42,2019-10-19,564,520,,127,15,28,,44,,14,,139,35,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,43,2019-10-26,585,548,,120,27,34,,31,,19,,150,26,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,44,2019-11-02,596,552,,129,20,43,17,44,,11,,141,27,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,45,2019-11-09,639,589,,125,18,31,12,40,,24,,156,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Mississippi,2019,46,2019-11-16,621,566,,124,18,39,14,35,11,,,149,35,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
